nm,n,k,wl
245.692566,0.52862,1.686461,0.245692566
246.465164,0.53018,1.692319,0.246465164
247.237717,0.531718,1.69815,0.247237717
248.010223,0.533233,1.703955,0.248010223
248.782669,0.534725,1.709734,0.248782669
249.555069,0.536194,1.715489,0.249555069
250.327408,0.537641,1.72122,0.250327408
251.099686,0.539064,1.726928,0.251099686
251.871918,0.540464,1.732613,0.251871918
252.644104,0.541841,1.738276,0.252644104
253.416229,0.543196,1.743918,0.253416229
254.188309,0.544527,1.74954,0.254188309
254.960327,0.545836,1.755142,0.254960327
255.7323,0.547122,1.760725,0.2557323
256.504211,0.548385,1.766289,0.256504211
257.276093,0.549625,1.771835,0.257276093
258.047882,0.550843,1.777364,0.258047882
258.819641,0.552039,1.782875,0.258819641
259.591339,0.553212,1.78837,0.259591339
260.362976,0.554363,1.793849,0.260362976
261.134583,0.555491,1.799313,0.261134583
261.906128,0.556598,1.804762,0.261906128
262.677612,0.557682,1.810197,0.262677612
263.449036,0.558744,1.815618,0.263449036
264.220428,0.559785,1.821025,0.264220428
264.99173,0.560804,1.82642,0.26499173
265.763,0.561801,1.831803,0.265763
266.53421,0.562776,1.837173,0.26653421
267.305389,0.56373,1.842533,0.267305389
268.076477,0.564663,1.847882,0.268076477
268.847534,0.565574,1.853221,0.268847534
269.61853,0.566464,1.85855,0.26961853
270.389496,0.567334,1.86387,0.270389496
271.16037,0.568182,1.869182,0.27116037
271.931213,0.569009,1.874485,0.271931213
272.701996,0.569816,1.87978,0.272701996
273.472717,0.570602,1.885069,0.273472717
274.243378,0.571368,1.89035,0.274243378
275.013977,0.572114,1.895625,0.275013977
275.784546,0.572839,1.900895,0.275784546
276.555054,0.573545,1.906159,0.276555054
277.3255,0.57423,1.911417,0.2773255
278.095886,0.574896,1.916671,0.278095886
278.866241,0.575543,1.921921,0.278866241
279.636505,0.57617,1.927166,0.279636505
280.406738,0.576778,1.932408,0.280406738
281.17691,0.577367,1.937647,0.28117691
281.947052,0.577937,1.942883,0.281947052
282.717102,0.578489,1.948116,0.282717102
283.487122,0.579022,1.953347,0.283487122
284.25705,0.579537,1.958575,0.28425705
285.026947,0.580034,1.963803,0.285026947
285.796814,0.580513,1.969029,0.285796814
286.566589,0.580974,1.974255,0.286566589
287.336304,0.581418,1.97948,0.287336304
288.105988,0.581844,1.984704,0.288105988
288.87561,0.582253,1.989929,0.28887561
289.645172,0.582646,1.995155,0.289645172
290.414673,0.583021,2.000381,0.290414673
291.184143,0.58338,2.005609,0.291184143
291.953522,0.583722,2.010837,0.291953522
292.72287,0.584049,2.016068,0.29272287
293.492157,0.584359,2.021301,0.293492157
294.261383,0.584653,2.026537,0.294261383
295.030548,0.584932,2.031775,0.295030548
295.799652,0.585196,2.037016,0.295799652
296.568726,0.585444,2.04226,0.296568726
297.337708,0.585678,2.047508,0.297337708
298.106659,0.585896,2.052761,0.298106659
298.875549,0.5861,2.058017,0.298875549
299.644379,0.58629,2.063277,0.299644379
300.413177,0.586466,2.068543,0.300413177
301.181885,0.586628,2.073813,0.301181885
301.950562,0.586776,2.079088,0.301950562
302.719177,0.586911,2.084369,0.302719177
303.487701,0.587032,2.089655,0.303487701
304.256226,0.587141,2.094947,0.304256226
305.024658,0.587237,2.100245,0.305024658
305.79303,0.58732,2.105549,0.30579303
306.561371,0.587392,2.110859,0.306561371
307.32962,0.587451,2.116176,0.30732962
308.097839,0.587498,2.1215,0.308097839
308.865997,0.587534,2.12683,0.308865997
309.634094,0.587559,2.132168,0.309634094
310.40213,0.587573,2.137513,0.31040213
311.170135,0.587575,2.142866,0.311170135
311.938049,0.587568,2.148226,0.311938049
312.705933,0.58755,2.153594,0.312705933
313.473724,0.587521,2.15897,0.313473724
314.241486,0.587484,2.164354,0.314241486
315.009186,0.587436,2.169746,0.315009186
