nm,n,k,wl
192.414993,1.781367,0.006848,0.192414993
194.001999,1.785227,0.015676,0.194001999
195.589081,1.78724,0.016882,0.195589081
197.176178,1.785479,0.014212,0.197176178
198.763351,1.779923,0.011021,0.198763351
200.350571,1.772591,0.009655,0.200350571
201.937836,1.76554,0.00983,0.201937836
203.525162,1.759476,0.010753,0.203525162
205.112518,1.754536,0.01169,0.205112518
206.699921,1.750355,0.012049,0.206699921
208.287399,1.746359,0.01184,0.208287399
209.874908,1.742318,0.011311,0.209874908
211.462448,1.738162,0.010688,0.211462448
213.050049,1.733938,0.01018,0.213050049
214.637695,1.729823,0.009886,0.214637695
216.225388,1.725936,0.009745,0.216225388
217.813141,1.722313,0.009681,0.217813141
219.400925,1.718952,0.009627,0.219400925
220.98877,1.715817,0.009521,0.22098877
222.57663,1.712833,0.009346,0.22257663
224.164581,1.709956,0.009128,0.224164581
225.752533,1.707167,0.008895,0.225752533
227.340546,1.704461,0.008674,0.227340546
228.928619,1.701846,0.008488,0.228928619
230.516693,1.699352,0.008344,0.230516693
232.104858,1.696996,0.008219,0.232104858
233.693039,1.694778,0.008087,0.233693039
235.281281,1.692686,0.007924,0.235281281
236.869537,1.690703,0.00771,0.236869537
238.457855,1.688793,0.007426,0.238457855
240.046219,1.686911,0.007082,0.240046219
241.634598,1.685032,0.006708,0.241634598
243.223053,1.68315,0.006333,0.243223053
244.811523,1.681264,0.005983,0.244811523
246.400055,1.679384,0.005681,0.246400055
247.988602,1.677533,0.005449,0.247988602
249.577194,1.675746,0.005286,0.249577194
251.165848,1.674042,0.00517,0.251165848
252.754517,1.672428,0.005082,0.252754517
254.343231,1.670904,0.005002,0.254343231
255.932007,1.669462,0.004913,0.255932007
257.520813,1.668091,0.0048,0.257520813
259.10965,1.66677,0.004649,0.25910965
260.698517,1.665477,0.004467,0.260698517
262.287415,1.664199,0.004263,0.262287415
263.876373,1.662929,0.004048,0.263876373
265.465363,1.661664,0.00383,0.265465363
267.054382,1.660402,0.003617,0.267054382
268.643433,1.659143,0.003417,0.268643433
