nm,n,k,wl
192.414993,1.384956,1.663841,0.192414993
194.001999,1.368327,1.648927,0.194001999
195.589081,1.34543,1.64545,0.195589081
197.176178,1.321803,1.656236,0.197176178
198.763351,1.304586,1.681306,0.198763351
200.350571,1.301394,1.715036,0.200350571
201.937836,1.312538,1.748109,0.201937836
203.525162,1.334142,1.775068,0.203525162
205.112518,1.361504,1.793219,0.205112518
206.699921,1.389515,1.802523,0.206699921
208.287399,1.415278,1.805641,0.208287399
209.874908,1.43801,1.804493,0.209874908
211.462448,1.457256,1.800387,0.211462448
213.050049,1.472582,1.794463,0.213050049
214.637695,1.483713,1.788292,0.214637695
216.225388,1.491337,1.783414,0.216225388
217.813141,1.496556,1.780784,0.217813141
219.400925,1.50071,1.780903,0.219400925
220.98877,1.50547,1.783647,0.22098877
222.57663,1.512142,1.787467,0.22257663
224.164581,1.520424,1.790755,0.224164581
225.752533,1.5295,1.792594,0.225752533
227.340546,1.538321,1.792518,0.227340546
228.928619,1.545556,1.790546,0.228928619
230.516693,1.549865,1.787904,0.230516693
232.104858,1.551407,1.786316,0.232104858
233.693039,1.551027,1.786836,0.233693039
235.281281,1.549839,1.790061,0.235281281
236.869537,1.549215,1.796146,0.236869537
238.457855,1.550914,1.804459,0.238457855
240.046219,1.555861,1.812725,0.240046219
241.634598,1.563174,1.819027,0.241634598
243.223053,1.571469,1.822261,0.243223053
244.811523,1.579095,1.821885,0.244811523
246.400055,1.584112,1.81789,0.246400055
247.988602,1.58402,1.8112,0.247988602
249.577194,1.577108,1.805063,0.249577194
251.165848,1.564237,1.802625,0.251165848
252.754517,1.547118,1.806015,0.252754517
254.343231,1.527954,1.816648,0.254343231
255.932007,1.509372,1.835222,0.255932007
257.520813,1.49443,1.861535,0.257520813
259.10965,1.486496,1.893538,0.25910965
260.698517,1.486555,1.927363,0.260698517
262.287415,1.493726,1.960288,0.262287415
263.876373,1.506686,1.990523,0.263876373
265.465363,1.523942,2.016922,0.265465363
267.054382,1.543935,2.038838,0.267054382
268.643433,1.565045,2.056056,0.268643433
270.232513,1.585517,2.069025,0.270232513
271.821655,1.604373,2.079113,0.271821655
273.410828,1.621513,2.087353,0.273410828
275.000031,1.637024,2.094447,0.275000031
276.589264,1.651072,2.10091,0.276589264
278.178528,1.663876,2.107128,0.278178528
279.767822,1.675693,2.11338,0.279767822
281.357147,1.686818,2.119849,0.281357147
282.946533,1.697587,2.126554,0.282946533
284.53595,1.708173,2.133348,0.28453595
286.125366,1.718621,2.140139,0.286125366
287.714844,1.728949,2.146873,0.287714844
289.304352,1.739162,2.153515,0.289304352
290.89386,1.749256,2.160044,0.29089386
292.483459,1.759223,2.166447,0.292483459
294.073029,1.769048,2.172719,0.294073029
295.662659,1.778714,2.178863,0.295662659
297.252319,1.788204,2.184899,0.297252319
298.84201,1.797518,2.190852,0.29884201
300.431732,1.806662,2.19674,0.300431732
302.021484,1.815644,2.202579,0.302021484
303.611267,1.824472,2.208379,0.303611267
305.20105,1.833154,2.214152,0.30520105
306.790894,1.841701,2.219906,0.306790894
308.380768,1.85012,2.225647,0.308380768
309.970642,1.858422,2.231381,0.309970642
311.560577,1.866619,2.237108,0.311560577
313.150543,1.874715,2.242825,0.313150543
314.740509,1.882711,2.248529,0.314740509
316.330505,1.890606,2.254221,0.316330505
317.920532,1.898399,2.259902,0.317920532
319.51059,1.906087,2.265573,0.31951059
321.100677,1.913666,2.271239,0.321100677
322.690796,1.921133,2.276903,0.322690796
324.280914,1.928482,2.282572,0.324280914
325.871063,1.935707,2.288252,0.325871063
327.461243,1.942799,2.293956,0.327461243
329.051453,1.949749,2.299705,0.329051453
330.641693,1.956564,2.305523,0.330641693
332.231964,1.963255,2.311428,0.332231964
333.822235,1.969832,2.317434,0.333822235
335.412537,1.976308,2.323553,0.335412537
337.002869,1.982695,2.329796,0.337002869
338.593231,1.989004,2.336169,0.338593231
340.183594,1.995247,2.342682,0.340183594
341.773987,2.001435,2.349342,0.341773987
343.36441,2.007577,2.356155,0.34336441
344.954865,2.01368,2.363129,0.344954865
346.545319,2.019747,2.370278,0.346545319
348.135803,2.025794,2.377629,0.348135803
349.726288,2.031846,2.385202,0.349726288
351.316833,2.037936,2.39301,0.351316833
352.907349,2.044099,2.401059,0.352907349
354.497894,2.050369,2.409351,0.354497894
356.088501,2.05678,2.417884,0.356088501
357.679108,2.06337,2.426652,0.357679108
359.269714,2.070175,2.435644,0.359269714
360.860352,2.077233,2.444847,0.360860352
362.450989,2.084584,2.45424,0.362450989
364.041687,2.092268,2.463799,0.364041687
365.632385,2.100335,2.473491,0.365632385
367.223083,2.108839,2.483262,0.367223083
368.813782,2.117814,2.493014,0.368813782
370.404541,2.127239,2.502658,0.370404541
371.9953,2.137084,2.512127,0.3719953
373.58606,2.14731,2.521368,0.37358606
375.176849,2.157875,2.530338,0.375176849
376.767639,2.168735,2.539003,0.376767639
378.358459,2.179846,2.547336,0.378358459
379.94931,2.191162,2.555317,0.37994931
381.540161,2.202636,2.56293,0.381540161
383.131042,2.214221,2.570166,0.383131042
384.721893,2.225868,2.577022,0.384721893
386.312805,2.237529,2.583498,0.386312805
387.903687,2.24915,2.589603,0.387903687
389.494598,2.260677,2.595353,0.389494598
391.08551,2.272045,2.600788,0.39108551
392.676453,2.283221,2.605976,0.392676453
394.267426,2.294203,2.610975,0.394267426
395.858398,2.304996,2.615829,0.395858398
397.449371,2.315609,2.620573,0.397449371
399.040344,2.326054,2.62524,0.399040344
400.631348,2.336346,2.629853,0.400631348
402.222351,2.346499,2.634436,0.402222351
403.813385,2.356531,2.639008,0.403813385
405.404388,2.366458,2.643582,0.405404388
406.995422,2.3763,2.648173,0.406995422
408.586487,2.386074,2.65279,0.408586487
410.177551,2.395801,2.657441,0.410177551
411.768616,2.405501,2.662132,0.411768616
413.35968,2.415194,2.666863,0.41335968
414.950745,2.424904,2.671636,0.414950745
416.54184,2.434656,2.676445,0.41654184
418.132904,2.444478,2.681272,0.418132904
419.72403,2.454382,2.68609,0.41972403
421.315125,2.464367,2.690877,0.421315125
422.90625,2.474434,2.695617,0.42290625
424.497375,2.484578,2.700296,0.424497375
426.088531,2.494797,2.704903,0.426088531
427.679626,2.505084,2.709427,0.427679626
429.270813,2.515434,2.713859,0.429270813
430.861908,2.525842,2.718194,0.430861908
432.453064,2.536302,2.722423,0.432453064
434.04425,2.546808,2.726542,0.43404425
435.635345,2.557352,2.730546,0.435635345
437.226501,2.567929,2.734431,0.437226501
438.817688,2.578532,2.738195,0.438817688
440.408844,2.589154,2.741836,0.440408844
442.000061,2.59979,2.74535,0.442000061
443.591217,2.610431,2.748738,0.443591217
445.182373,2.621071,2.751998,0.445182373
446.773529,2.631703,2.755131,0.446773529
448.364685,2.642318,2.75814,0.448364685
449.955902,2.652912,2.761029,0.449955902
451.547058,2.663481,2.763801,0.451547058
453.138245,2.674021,2.766461,0.453138245
454.729431,2.684531,2.769011,0.454729431
456.320618,2.695009,2.771454,0.456320618
457.911774,2.705452,2.773792,0.457911774
459.502991,2.71586,2.776028,0.459502991
461.094147,2.726231,2.778163,0.461094147
462.685303,2.736563,2.7802,0.462685303
464.276459,2.746855,2.782141,0.464276459
465.867676,2.757107,2.783987,0.465867676
467.458832,2.767317,2.785741,0.467458832
469.049988,2.777484,2.787403,0.469049988
470.641174,2.787609,2.788975,0.470641174
472.23233,2.797689,2.790459,0.47223233
473.823486,2.807726,2.791857,0.473823486
475.414642,2.817717,2.793169,0.475414642
477.005768,2.827664,2.794396,0.477005768
478.596924,2.837565,2.79554,0.478596924
480.18808,2.847422,2.796602,0.48018808
481.779205,2.857234,2.797582,0.481779205
483.3703,2.867002,2.79848,0.4833703
484.961487,2.876726,2.799294,0.484961487
486.552582,2.886406,2.800024,0.486552582
488.143707,2.896039,2.800668,0.488143707
489.734802,2.905623,2.801225,0.489734802
491.325867,2.915157,2.801696,0.491325867
492.916992,2.924638,2.80208,0.492916992
494.508057,2.934063,2.802378,0.494508057
496.099182,2.943432,2.80259,0.496099182
497.690247,2.952741,2.802716,0.497690247
499.281311,2.961989,2.802757,0.499281311
500.872314,2.971172,2.802713,0.500872314
502.463379,2.980289,2.802587,0.502463379
504.054382,2.989337,2.802377,0.504054382
505.645416,2.998314,2.802086,0.505645416
507.23642,3.007218,2.801715,0.50723642
508.827454,3.016047,2.801264,0.508827454
