nm,n,k,wl
192.414993,0.901252,1.337214,0.192414993
194.001999,0.900884,1.36437,0.194001999
195.589081,0.905152,1.389983,0.195589081
197.176178,0.912372,1.412778,0.197176178
198.763351,0.920654,1.432377,0.198763351
200.350571,0.928133,1.449627,0.200350571
201.937836,0.934369,1.466093,0.201937836
203.525162,0.939633,1.482709,0.203525162
205.112518,0.944323,1.500049,0.205112518
206.699921,0.948888,1.51849,0.206699921
208.287399,0.953851,1.538269,0.208287399
209.874908,0.959794,1.559436,0.209874908
211.462448,0.967313,1.581864,0.211462448
213.050049,0.977034,1.605214,0.213050049
214.637695,0.989431,1.628697,0.214637695
216.225388,1.004376,1.651515,0.216225388
217.813141,1.021578,1.673164,0.217813141
219.400925,1.040733,1.6933,0.219400925
220.98877,1.061559,1.711659,0.22098877
222.57663,1.083749,1.727977,0.22257663
224.164581,1.106914,1.742076,0.224164581
225.752533,1.130662,1.753883,0.225752533
227.340546,1.154614,1.7634,0.227340546
228.928619,1.178393,1.770703,0.228928619
230.516693,1.201656,1.77602,0.230516693
232.104858,1.224262,1.779621,0.232104858
233.693039,1.246139,1.781693,0.233693039
235.281281,1.267234,1.782385,0.235281281
236.869537,1.287506,1.78182,0.236869537
238.457855,1.306916,1.780113,0.238457855
240.046219,1.325446,1.777385,0.240046219
241.634598,1.343112,1.773736,0.241634598
243.223053,1.359946,1.769234,0.243223053
244.811523,1.37599,1.763923,0.244811523
246.400055,1.391311,1.757813,0.246400055
247.988602,1.406019,1.75083,0.247988602
249.577194,1.420122,1.742677,0.249577194
251.165848,1.43334,1.733107,0.251165848
252.754517,1.445308,1.722012,0.252754517
254.343231,1.455598,1.709385,0.254343231
255.932007,1.463713,1.69532,0.255932007
257.520813,1.469031,1.680057,0.257520813
259.10965,1.47076,1.664317,0.25910965
260.698517,1.468777,1.649405,0.260698517
262.287415,1.463552,1.636307,0.262287415
263.876373,1.455733,1.625744,0.263876373
265.465363,1.446105,1.618238,0.265465363
267.054382,1.435587,1.614115,0.267054382
268.643433,1.425264,1.613459,0.268643433
270.232513,1.416448,1.615832,0.270232513
271.821655,1.409878,1.619948,0.271821655
273.410828,1.40548,1.624744,0.273410828
275.000031,1.40296,1.629463,0.275000031
276.589264,1.401907,1.633551,0.276589264
278.178528,1.40183,1.636618,0.278178528
279.767822,1.402173,1.638424,0.279767822
281.357147,1.402294,1.638891,0.281357147
282.946533,1.40145,1.638301,0.282946533
284.53595,1.399324,1.637338,0.28453595
286.125366,1.395967,1.636509,0.286125366
287.714844,1.391522,1.636178,0.287714844
289.304352,1.386187,1.63662,0.289304352
290.89386,1.380197,1.638039,0.29089386
292.483459,1.373823,1.640573,0.292483459
294.073029,1.367368,1.644292,0.294073029
295.662659,1.361185,1.649175,0.295662659
297.252319,1.355607,1.654982,0.297252319
298.84201,1.350727,1.661416,0.29884201
300.431732,1.346555,1.668262,0.300431732
302.021484,1.343067,1.675352,0.302021484
303.611267,1.340222,1.682547,0.303611267
305.20105,1.337965,1.689734,0.30520105
306.790894,1.336236,1.696823,0.306790894
308.380768,1.334966,1.703737,0.308380768
309.970642,1.334083,1.710419,0.309970642
311.560577,1.33351,1.716831,0.311560577
313.150543,1.333182,1.722955,0.313150543
314.740509,1.333043,1.728775,0.314740509
316.330505,1.33304,1.734282,0.316330505
317.920532,1.333122,1.739465,0.317920532
319.51059,1.33324,1.744321,0.31951059
321.100677,1.333344,1.748851,0.321100677
322.690796,1.333385,1.753058,0.322690796
324.280914,1.333314,1.756952,0.324280914
325.871063,1.333079,1.760546,0.325871063
327.461243,1.332628,1.763866,0.327461243
329.051453,1.331912,1.766958,0.329051453
330.641693,1.330912,1.769874,0.330641693
332.231964,1.329617,1.772654,0.332231964
333.822235,1.328021,1.775332,0.333822235
335.412537,1.32612,1.777938,0.335412537
337.002869,1.323911,1.780502,0.337002869
338.593231,1.321391,1.783049,0.338593231
340.183594,1.318559,1.785604,0.340183594
341.773987,1.315413,1.788193,0.341773987
343.36441,1.31195,1.790838,0.34336441
344.954865,1.308167,1.793567,0.344954865
346.545319,1.304058,1.79641,0.346545319
348.135803,1.299628,1.799414,0.348135803
349.726288,1.294897,1.802614,0.349726288
351.316833,1.289888,1.806043,0.351316833
352.907349,1.284628,1.809724,0.352907349
354.497894,1.279144,1.813679,0.354497894
356.088501,1.273463,1.817923,0.356088501
357.679108,1.267615,1.822471,0.357679108
359.269714,1.261628,1.827334,0.359269714
360.860352,1.255532,1.832517,0.360860352
362.450989,1.249357,1.838027,0.362450989
364.041687,1.243132,1.843863,0.364041687
365.632385,1.236889,1.850024,0.365632385
367.223083,1.23066,1.856502,0.367223083
368.813782,1.22447,1.86328,0.368813782
370.404541,1.218337,1.870342,0.370404541
371.9953,1.212275,1.877674,0.3719953
373.58606,1.206298,1.885263,0.37358606
375.176849,1.200418,1.893099,0.375176849
376.767639,1.194646,1.901168,0.376767639
378.358459,1.188992,1.909461,0.378358459
379.94931,1.183467,1.917965,0.37994931
381.540161,1.178078,1.926669,0.381540161
383.131042,1.172835,1.935563,0.383131042
384.721893,1.167746,1.944634,0.384721893
386.312805,1.162817,1.953872,0.386312805
387.903687,1.158055,1.963266,0.387903687
389.494598,1.153467,1.972805,0.389494598
391.08551,1.149058,1.982477,0.39108551
392.676453,1.144833,1.992271,0.392676453
394.267426,1.140799,2.002176,0.394267426
395.858398,1.136959,2.012181,0.395858398
397.449371,1.133318,2.022274,0.397449371
399.040344,1.12988,2.032445,0.399040344
400.631348,1.126649,2.042681,0.400631348
402.222351,1.123629,2.05297,0.402222351
403.813385,1.120822,2.063301,0.403813385
405.404388,1.118233,2.073662,0.405404388
406.995422,1.115864,2.084039,0.406995422
408.586487,1.113719,2.094421,0.408586487
410.177551,1.1118,2.104793,0.410177551
411.768616,1.110112,2.115142,0.411768616
413.35968,1.108658,2.125451,0.41335968
414.950745,1.107443,2.135704,0.414950745
416.54184,1.106474,2.145879,0.41654184
418.132904,1.105756,2.155942,0.418132904
419.72403,1.105274,2.165856,0.41972403
421.315125,1.105007,2.175594,0.421315125
422.90625,1.10493,2.185135,0.42290625
424.497375,1.105019,2.194465,0.424497375
426.088531,1.10525,2.203572,0.426088531
427.679626,1.105599,2.212447,0.427679626
429.270813,1.106042,2.221084,0.429270813
430.861908,1.106555,2.22948,0.430861908
432.453064,1.107116,2.237632,0.432453064
434.04425,1.107702,2.245542,0.43404425
435.635345,1.10829,2.253211,0.435635345
437.226501,1.108859,2.260645,0.437226501
438.817688,1.109387,2.267848,0.438817688
440.408844,1.109853,2.27483,0.440408844
442.000061,1.110236,2.281599,0.442000061
443.591217,1.110513,2.288168,0.443591217
445.182373,1.110664,2.294553,0.445182373
446.773529,1.110663,2.300774,0.446773529
448.364685,1.110488,2.306867,0.448364685
449.955902,1.110135,2.312877,0.449955902
451.547058,1.109618,2.31884,0.451547058
453.138245,1.108953,2.32478,0.453138245
454.729431,1.108158,2.330718,0.454729431
456.320618,1.107251,2.33667,0.456320618
457.911774,1.10625,2.342648,0.457911774
459.502991,1.105176,2.348661,0.459502991
461.094147,1.104048,2.354715,0.461094147
462.685303,1.102885,2.360813,0.462685303
464.276459,1.101708,2.366958,0.464276459
465.867676,1.100536,2.373148,0.465867676
467.458832,1.099389,2.37938,0.467458832
469.049988,1.098287,2.385649,0.469049988
470.641174,1.09725,2.391948,0.470641174
472.23233,1.096298,2.398265,0.47223233
473.823486,1.095451,2.40459,0.473823486
475.414642,1.094729,2.410908,0.475414642
477.005768,1.094155,2.417199,0.477005768
478.596924,1.093749,2.423443,0.478596924
480.18808,1.093536,2.429613,0.48018808
481.779205,1.093542,2.435673,0.481779205
483.3703,1.093798,2.441571,0.4833703
484.961487,1.094306,2.447223,0.484961487
486.552582,1.09503,2.45256,0.486552582
488.143707,1.09593,2.457535,0.488143707
489.734802,1.09696,2.462109,0.489734802
491.325867,1.098076,2.466256,0.491325867
492.916992,1.099232,2.469954,0.492916992
494.508057,1.100383,2.473184,0.494508057
496.099182,1.101484,2.475936,0.496099182
497.690247,1.10249,2.478201,0.497690247
499.281311,1.103358,2.479976,0.499281311
500.872314,1.104044,2.481259,0.500872314
502.463379,1.104505,2.482052,0.502463379
504.054382,1.104697,2.48236,0.504054382
505.645416,1.104579,2.482189,0.505645416
507.23642,1.104108,2.48155,0.50723642
508.827454,1.103241,2.480454,0.508827454
510.418457,1.101937,2.478916,0.510418457
512.009399,1.100152,2.476955,0.512009399
513.600403,1.097844,2.474589,0.513600403
515.191345,1.09497,2.471842,0.515191345
516.782288,1.091484,2.468742,0.516782288
518.37323,1.087343,2.465318,0.51837323
519.964172,1.082498,2.461606,0.519964172
521.555054,1.076901,2.457649,0.521555054
523.145935,1.070501,2.453498,0.523145935
524.736877,1.063239,2.449221,0.524736877
526.327759,1.055081,2.444926,0.526327759
527.918579,1.046035,2.440711,0.527918579
529.509399,1.036119,2.436654,0.529509399
531.10022,1.025357,2.432825,0.53110022
532.69104,1.013775,2.429284,0.53269104
534.28186,1.001402,2.426088,0.53428186
535.872681,0.988267,2.423289,0.535872681
537.463379,0.974405,2.420936,0.537463379
539.054138,0.959849,2.419074,0.539054138
540.644897,0.944635,2.417743,0.540644897
542.235596,0.928801,2.416983,0.542235596
543.826294,0.912387,2.416828,0.543826294
545.416992,0.895436,2.417313,0.545416992
547.00769,0.877987,2.418465,0.54700769
548.598267,0.860087,2.420313,0.548598267
550.188904,0.841781,2.422878,0.550188904
551.779541,0.823116,2.426181,0.551779541
553.370117,0.804138,2.43024,0.553370117
554.960693,0.784896,2.435066,0.554960693
556.55127,0.76544,2.440671,0.55655127
558.141785,0.745818,2.44706,0.558141785
559.7323,0.726079,2.454237,0.5597323
561.322815,0.706274,2.4622,0.561322815
562.913269,0.68645,2.470945,0.562913269
564.503723,0.666655,2.480464,0.564503723
566.094116,0.646936,2.490745,0.566094116
567.68457,0.62734,2.501772,0.56768457
569.274963,0.60791,2.513527,0.569274963
570.865295,0.58869,2.525987,0.570865295
572.455688,0.569718,2.539126,0.572455688
574.045959,0.551036,2.552911,0.574045959
575.636292,0.532672,2.567304,0.575636292
577.226501,0.514649,2.582264,0.577226501
578.816772,0.496982,2.597759,0.578816772
580.406982,0.479686,2.613756,0.580406982
581.997192,0.462771,2.630227,0.581997192
583.587341,0.446248,2.64714,0.583587341
585.177551,0.430125,2.664468,0.585177551
586.767639,0.41441,2.682183,0.586767639
588.357788,0.399107,2.70026,0.588357788
589.947815,0.384221,2.718671,0.589947815
591.537842,0.369755,2.737393,0.591537842
593.127869,0.355709,2.756402,0.593127869
594.717896,0.342085,2.775674,0.594717896
596.307861,0.328882,2.795188,0.596307861
597.897766,0.316099,2.814923,0.597897766
599.487671,0.303734,2.834858,0.599487671
601.077576,0.291785,2.854974,0.601077576
602.667419,0.280248,2.875252,0.602667419
604.257202,0.269119,2.895674,0.604257202
605.847046,0.258395,2.916223,0.605847046
607.436829,0.24807,2.936883,0.607436829
609.02655,0.23814,2.957639,0.60902655
610.616272,0.228599,2.978474,0.610616272
612.205933,0.219442,2.999375,0.612205933
613.795532,0.210663,3.020328,0.613795532
615.385193,0.202256,3.041322,0.615385193
616.974731,0.194216,3.06234,0.616974731
618.564331,0.186536,3.083374,0.618564331
620.15387,0.17921,3.10441,0.62015387
621.743347,0.172232,3.125437,0.621743347
623.332825,0.165595,3.146445,0.623332825
624.922241,0.159295,3.167421,0.624922241
626.511597,0.153323,3.188357,0.626511597
628.100952,0.147674,3.209241,0.628100952
629.690308,0.142343,3.230063,0.629690308
631.279602,0.137323,3.250812,0.631279602
632.868835,0.132608,3.271476,0.632868835
634.458069,0.128191,3.29204,0.634458069
636.047241,0.12406,3.312488,0.636047241
637.636353,0.1202,3.332812,0.637636353
639.225464,0.116595,3.353002,0.639225464
640.814575,0.113232,3.373054,0.640814575
642.403625,0.110098,3.392961,0.642403625
643.992615,0.107178,3.412721,0.643992615
645.581604,0.104462,3.432332,0.645581604
647.170532,0.101937,3.45179,0.647170532
648.759399,0.099592,3.471096,0.648759399
650.348267,0.097415,3.490248,0.650348267
651.937134,0.095397,3.509246,0.651937134
653.525879,0.093527,3.528089,0.653525879
655.114624,0.091796,3.546778,0.655114624
656.703308,0.090195,3.565316,0.656703308
658.291992,0.088714,3.583702,0.658291992
659.880615,0.087346,3.601937,0.659880615
661.469177,0.086082,3.620023,0.661469177
663.057739,0.084914,3.637964,0.663057739
664.64624,0.083836,3.655759,0.66464624
666.234741,0.08284,3.673412,0.666234741
667.82312,0.08192,3.690925,0.66782312
669.411499,0.081068,3.7083,0.669411499
670.999878,0.080279,3.72554,0.670999878
672.588135,0.079546,3.742648,0.672588135
674.176392,0.078865,3.759627,0.674176392
675.764587,0.078229,3.776479,0.675764587
677.352783,0.077633,3.793208,0.677352783
678.940918,0.077073,3.809816,0.678940918
680.528992,0.076543,3.826307,0.680528992
682.117065,0.076039,3.842685,0.682117065
683.705017,0.075556,3.858952,0.683705017
685.292969,0.075091,3.875111,0.685292969
686.88092,0.074638,3.891168,0.68688092
688.46875,0.074195,3.907125,0.68846875
690.056519,0.073758,3.922985,0.690056519
691.644348,0.073322,3.938753,0.691644348
693.232056,0.072885,3.954432,0.693232056
694.819702,0.072444,3.970027,0.694819702
696.407349,0.071994,3.985541,0.696407349
697.994934,0.071534,4.000978,0.697994934
699.582458,0.07106,4.016344,0.699582458
701.169983,0.07057,4.031642,0.701169983
702.757446,0.07006,4.046878,0.702757446
704.344849,0.069529,4.062057,0.704344849
705.932129,0.068974,4.077184,0.705932129
707.519409,0.068393,4.092267,0.707519409
709.106689,0.067786,4.107314,0.709106689
710.693909,0.067157,4.122333,0.710693909
712.281067,0.066509,4.137327,0.712281067
713.868103,0.065845,4.1523,0.713868103
715.4552,0.065167,4.167258,0.7154552
717.042175,0.064479,4.182201,0.717042175
718.629089,0.063783,4.197133,0.718629089
720.216003,0.063081,4.212055,0.720216003
721.802856,0.062378,4.22697,0.721802856
723.389648,0.061674,4.241879,0.723389648
724.976379,0.060972,4.256783,0.724976379
726.56311,0.060275,4.271684,0.72656311
728.149719,0.059584,4.286581,0.728149719
729.736267,0.058902,4.301477,0.729736267
731.322815,0.058231,4.316371,0.731322815
732.909302,0.057572,4.331265,0.732909302
734.495728,0.056928,4.346159,0.734495728
736.082092,0.056299,4.361053,0.736082092
737.668335,0.055689,4.375945,0.737668335
739.254639,0.055098,4.390839,0.739254639
740.84082,0.054528,4.405732,0.74084082
742.426941,0.053981,4.420626,0.742426941
744.013062,0.053457,4.43552,0.744013062
745.59906,0.052959,4.450412,0.74559906
747.185059,0.052487,4.465304,0.747185059
748.770996,0.052043,4.480196,0.748770996
750.356812,0.051628,4.495085,0.750356812
751.942688,0.051242,4.509973,0.751942688
753.528442,0.050889,4.524859,0.753528442
755.114136,0.050567,4.539741,0.755114136
756.699707,0.050278,4.554619,0.756699707
758.285278,0.050023,4.569494,0.758285278
759.870789,0.049803,4.584364,0.759870789
761.456238,0.049619,4.599228,0.761456238
763.041626,0.049471,4.614086,0.763041626
764.627014,0.049361,4.628936,0.764627014
766.21228,0.049288,4.643779,0.76621228
767.797485,0.049254,4.658614,0.767797485
769.382629,0.049259,4.673439,0.769382629
770.967712,0.049303,4.688253,0.770967712
772.552734,0.049388,4.703056,0.772552734
774.137695,0.049514,4.717847,0.774137695
775.722595,0.049681,4.732625,0.775722595
777.307495,0.049889,4.747389,0.777307495
778.892212,0.05014,4.762138,0.778892212
780.476929,0.050433,4.77687,0.780476929
782.061646,0.050769,4.791586,0.782061646
783.646179,0.051148,4.806283,0.783646179
785.230713,0.05157,4.82096,0.785230713
786.815186,0.052037,4.835618,0.786815186
788.399597,0.052547,4.850253,0.788399597
789.983948,0.053101,4.864865,0.789983948
791.568237,0.0537,4.879454,0.791568237
793.152405,0.054343,4.894015,0.793152405
794.736511,0.055032,4.908549,0.794736511
796.320618,0.055765,4.923055,0.796320618
797.904663,0.056543,4.93753,0.797904663
799.488586,0.057366,4.951972,0.799488586
801.072388,0.058234,4.966377,0.801072388
802.65625,0.059145,4.980744,0.80265625
804.23999,0.060098,4.995069,0.80423999
805.823608,0.061089,5.009352,0.805823608
807.407227,0.062118,5.023591,0.807407227
808.990784,0.063181,5.037786,0.808990784
810.574219,0.064277,5.051935,0.810574219
812.157593,0.065405,5.066038,0.812157593
813.740967,0.066562,5.080094,0.813740967
815.324219,0.067747,5.094104,0.815324219
816.907349,0.068958,5.108067,0.816907349
818.49054,0.070194,5.121982,0.81849054
820.073547,0.071452,5.135849,0.820073547
821.656555,0.072732,5.14967,0.821656555
823.239441,0.074031,5.163443,0.823239441
824.822266,0.075348,5.177168,0.824822266
826.404968,0.076683,5.190846,0.826404968
827.987671,0.078032,5.204477,0.827987671
829.570313,0.079396,5.218061,0.829570313
831.152832,0.080773,5.231599,0.831152832
832.735352,0.082162,5.24509,0.832735352
834.317688,0.08356,5.258534,0.834317688
835.900024,0.084969,5.271935,0.835900024
837.4823,0.086385,5.285289,0.8374823
839.064453,0.087808,5.298598,0.839064453
840.646606,0.089237,5.311863,0.840646606
842.228638,0.09067,5.325084,0.842228638
843.810547,0.092108,5.338262,0.843810547
845.392395,0.093548,5.351396,0.845392395
846.974243,0.09499,5.364488,0.846974243
848.555847,0.096433,5.377538,0.848555847
850.137512,0.097877,5.390546,0.850137512
851.719116,0.099319,5.403514,0.851719116
853.300598,0.100759,5.416441,0.853300598
854.882019,0.102197,5.429329,0.854882019
856.463379,0.103632,5.442177,0.856463379
858.044617,0.105063,5.454987,0.858044617
859.625793,0.106488,5.467759,0.859625793
861.206848,0.107909,5.480493,0.861206848
862.787903,0.109323,5.493191,0.862787903
864.368835,0.11073,5.505854,0.864368835
865.949707,0.112129,5.51848,0.865949707
867.530457,0.11352,5.531071,0.867530457
869.111145,0.114903,5.543628,0.869111145
870.691772,0.116276,5.556153,0.870691772
872.272339,0.117638,5.568644,0.872272339
873.852722,0.118991,5.581103,0.873852722
875.433228,0.120332,5.593531,0.875433228
877.013489,0.121661,5.605928,0.877013489
878.593628,0.122978,5.618295,0.878593628
880.173828,0.124283,5.630632,0.880173828
881.753784,0.125574,5.642941,0.881753784
883.333801,0.126852,5.655222,0.883333801
884.913696,0.128116,5.667476,0.884913696
886.493469,0.129366,5.679703,0.886493469
888.073242,0.1306,5.691905,0.888073242
889.652832,0.131819,5.704081,0.889652832
891.2323,0.133023,5.716233,0.8912323
892.811829,0.134211,5.728362,0.892811829
894.391235,0.135382,5.740468,0.894391235
895.97052,0.136536,5.752552,0.89597052
897.549683,0.137673,5.764614,0.897549683
899.128784,0.138793,5.776655,0.899128784
900.707825,0.139896,5.788677,0.900707825
902.286804,0.14098,5.800681,0.902286804
903.865601,0.142046,5.812666,0.903865601
905.444458,0.143093,5.824634,0.905444458
907.023071,0.144122,5.836585,0.907023071
908.601685,0.145131,5.848521,0.908601685
910.180176,0.146121,5.860442,0.910180176
911.758606,0.147092,5.87235,0.911758606
913.336914,0.148042,5.884244,0.913336914
914.915161,0.148973,5.896127,0.914915161
916.493347,0.149884,5.908,0.916493347
918.071411,0.150774,5.919862,0.918071411
919.649292,0.151643,5.931716,0.919649292
921.227234,0.152491,5.943564,0.921227234
922.804993,0.153319,5.955406,0.922804993
924.38269,0.154128,5.967247,0.92438269
925.960327,0.154917,5.979084,0.925960327
927.537781,0.155689,5.99092,0.927537781
929.115234,0.156444,6.002755,0.929115234
930.692566,0.157183,6.014592,0.930692566
932.269836,0.157907,6.026429,0.932269836
933.846985,0.158616,6.038268,0.933846985
935.424011,0.159313,6.050109,0.935424011
937.000977,0.159996,6.061953,0.937000977
938.57782,0.160668,6.073799,0.93857782
940.154602,0.161328,6.085649,0.940154602
941.731262,0.161978,6.097503,0.941731262
943.307922,0.162619,6.10936,0.943307922
944.884399,0.16325,6.121222,0.944884399
946.460754,0.163873,6.133088,0.946460754
948.036987,0.164489,6.144959,0.948036987
949.613281,0.165098,6.156835,0.949613281
951.189331,0.1657,6.168715,0.951189331
952.76532,0.166297,6.1806,0.95276532
954.341309,0.166889,6.192491,0.954341309
955.917114,0.167477,6.204386,0.955917114
957.492798,0.16806,6.216287,0.957492798
959.068359,0.168641,6.228192,0.959068359
960.643921,0.169218,6.240104,0.960643921
962.21936,0.169794,6.252019,0.96221936
963.794617,0.170367,6.263941,0.963794617
965.369934,0.17094,6.275868,0.965369934
966.945007,0.171512,6.287799,0.966945007
968.52002,0.172083,6.299736,0.96852002
970.09491,0.172655,6.311677,0.97009491
971.6698,0.173228,6.323624,0.9716698
