nm,n,k,wl
231,1.820709862,0.849883088,0.231
232,1.826632652,0.849391943,0.232
233,1.832533973,0.848836573,0.233
234,1.838421075,0.848222744,0.234
235,1.844281071,0.847540357,0.235
236,1.850123926,0.846803745,0.236
237,1.85594961,0.846002799,0.237
238,1.86173833,0.845127831,0.238
239,1.867509876,0.844198528,0.239
240,1.873254284,0.843209429,0.24
241,1.878971585,0.842153114,0.241
242,1.884661781,0.841029884,0.242
243,1.890316079,0.839846559,0.243
244,1.895940819,0.838608796,0.244
245,1.90153964,0.837297215,0.245
246,1.907101385,0.835931197,0.246
247,1.912625994,0.834495483,0.247
248,1.918119465,0.833002455,0.248
249,1.923571304,0.831445194,0.249
250,1.928985997,0.829833715,0.25
251,1.934353875,0.828148008,0.251
252,1.939685827,0.826416315,0.252
253,1.944973815,0.824613891,0.253
254,1.950222965,0.822755488,0.254
255,1.955411068,0.820842859,0.255
256,1.960564931,0.818863519,0.256
257,1.965664592,0.816833869,0.257
258,1.970709586,0.814739606,0.258
259,1.975699349,0.812590054,0.259
260,1.980644853,0.810386288,0.26
261,1.985526145,0.808128285,0.261
262,1.990343205,0.805816055,0.262
263,1.99511364,0.803459601,0.263
264,1.9998137,0.80103985,0.264
265,2.004449495,0.798573502,0.265
266,2.009021099,0.796062907,0.266
267,2.013528447,0.793504712,0.267
268,2.017966409,0.790894223,0.268
269,2.022333027,0.788243235,0.269
270,2.026620567,0.78555286,0.27
271,2.030843039,0.782819098,0.271
272,2.034983601,0.780048799,0.272
273,2.039051944,0.777242252,0.273
274,2.043038969,0.774398574,0.274
275,2.046944638,0.771527789,0.275
276,2.050762594,0.768619891,0.276
277,2.05450196,0.765694869,0.277
278,2.058153591,0.762742751,0.278
279,2.061723207,0.759763494,0.279
280,2.065200709,0.756775004,0.28
281,2.068580475,0.753766497,0.281
282,2.071876745,0.750743027,0.282
283,2.075088143,0.747722443,0.283
284,2.078195265,0.744688907,0.284
285,2.081216854,0.74166186,0.285
286,2.08413921,0.738634789,0.286
287,2.086970201,0.735607742,0.287
288,2.089709864,0.732596992,0.288
289,2.092353306,0.729608493,0.289
290,2.094898281,0.726633434,0.29
291,2.097354805,0.723685482,0.291
292,2.099713429,0.720765171,0.292
293,2.101979792,0.717880911,0.293
294,2.104154285,0.715034286,0.294
295,2.106241211,0.712237219,0.295
296,2.108239226,0.709481946,0.296
297,2.110149686,0.706787114,0.297
298,2.111978796,0.704148405,0.298
