nm,n,k,wl
380,1.546,0,0.38
390,1.548,0,0.39
400,1.546,0,0.4
410,1.543,0,0.41
420,1.542,0,0.42
430,1.542,0,0.43
440,1.54,0,0.44
450,1.538,0,0.45
460,1.535,0,0.46
470,1.534,0,0.47
480,1.533,0,0.48
490,1.532,0,0.49
500,1.531,0,0.5
510,1.53,0,0.51
520,1.529,0,0.52
530,1.528,0,0.53
540,1.527,0,0.54
550,1.527,0,0.55
560,1.526,0,0.56
570,1.525,0,0.57
580,1.524,0,0.58
590,1.524,0,0.59
600,1.523,0,0.6
610,1.523,0,0.61
620,1.523,0,0.62
630,1.522,0,0.63
640,1.522,0,0.64
650,1.521,0,0.65
660,1.521,0,0.66
670,1.521,0,0.67
680,1.522,0,0.68
690,1.522,0,0.69
700,1.522,0,0.7
710,1.522,0,0.71
720,1.519,0,0.72
730,1.519,0,0.73
740,1.519,0,0.74
750,1.519,0,0.75
760,1.519,0,0.76
770,1.519,0,0.77
780,1.519,0,0.78
