nm,n,k,wl
245.692566,2.256137,0.81387,0.245692566
246.465164,2.246973,0.807628,0.246465164
247.237717,2.2377,0.801586,0.247237717
248.010223,2.228323,0.795745,0.248010223
248.782669,2.218843,0.790106,0.248782669
249.555069,2.209265,0.784668,0.249555069
250.327408,2.19959,0.779433,0.250327408
251.099686,2.189822,0.774401,0.251099686
251.871918,2.179965,0.769571,0.251871918
252.644104,2.17002,0.764945,0.252644104
253.416229,2.15999,0.760523,0.253416229
254.188309,2.149879,0.756305,0.254188309
254.960327,2.139689,0.752292,0.254960327
255.7323,2.129424,0.748484,0.2557323
256.504211,2.119086,0.744881,0.256504211
257.276093,2.108677,0.741485,0.257276093
258.047882,2.098201,0.738295,0.258047882
258.819641,2.08766,0.735313,0.258819641
259.591339,2.077058,0.732538,0.259591339
260.362976,2.066396,0.729971,0.260362976
261.134583,2.055679,0.727612,0.261134583
261.906128,2.044908,0.725463,0.261906128
262.677612,2.034087,0.723524,0.262677612
263.449036,2.023218,0.721795,0.263449036
264.220428,2.012305,0.720277,0.264220428
264.99173,2.00135,0.71897,0.26499173
265.763,1.990357,0.717875,0.265763
266.53421,1.979328,0.716993,0.26653421
267.305389,1.968266,0.716324,0.267305389
268.076477,1.957175,0.715868,0.268076477
268.847534,1.946057,0.715627,0.268847534
269.61853,1.934916,0.715601,0.26961853
270.389496,1.923755,0.715791,0.270389496
271.16037,1.912578,0.716196,0.27116037
271.931213,1.901387,0.716818,0.271931213
272.701996,1.890187,0.717657,0.272701996
273.472717,1.87898,0.718714,0.273472717
274.243378,1.86777,0.719989,0.274243378
275.013977,1.856561,0.721483,0.275013977
275.784546,1.845356,0.723195,0.275784546
276.555054,1.83416,0.725127,0.276555054
277.3255,1.822976,0.727279,0.2773255
278.095886,1.811807,0.72965,0.278095886
278.866241,1.800658,0.732242,0.278866241
279.636505,1.789534,0.735055,0.279636505
280.406738,1.778437,0.738087,0.280406738
281.17691,1.767373,0.741341,0.28117691
281.947052,1.756345,0.744815,0.281947052
282.717102,1.745358,0.748509,0.282717102
283.487122,1.734416,0.752423,0.283487122
284.25705,1.723525,0.756557,0.28425705
285.026947,1.712688,0.76091,0.285026947
285.796814,1.70191,0.765482,0.285796814
286.566589,1.691197,0.770272,0.286566589
287.336304,1.680552,0.775278,0.287336304
288.105988,1.669981,0.780501,0.288105988
288.87561,1.659488,0.785938,0.28887561
289.645172,1.649079,0.791588,0.289645172
290.414673,1.638759,0.797451,0.290414673
291.184143,1.628532,0.803523,0.291184143
291.953522,1.618404,0.809804,0.291953522
292.72287,1.608379,0.816291,0.29272287
293.492157,1.598463,0.822981,0.293492157
294.261383,1.588661,0.829873,0.294261383
295.030548,1.578978,0.836964,0.295030548
295.799652,1.569418,0.84425,0.295799652
296.568726,1.559987,0.851729,0.296568726
297.337708,1.55069,0.859396,0.297337708
298.106659,1.541531,0.86725,0.298106659
298.875549,1.532515,0.875285,0.298875549
299.644379,1.523646,0.883499,0.299644379
300.413177,1.514929,0.891886,0.300413177
301.181885,1.506369,0.900443,0.301181885
301.950562,1.497968,0.909164,0.301950562
302.719177,1.489732,0.918045,0.302719177
303.487701,1.481665,0.927081,0.303487701
304.256226,1.473768,0.936268,0.304256226
305.024658,1.466047,0.945599,0.305024658
305.79303,1.458505,0.95507,0.30579303
306.561371,1.451143,0.964674,0.306561371
307.32962,1.443965,0.974406,0.30732962
308.097839,1.436974,0.984261,0.308097839
308.865997,1.430171,0.994233,0.308865997
309.634094,1.423558,1.004315,0.309634094
310.40213,1.417138,1.014501,0.31040213
311.170135,1.410912,1.024787,0.311170135
311.938049,1.40488,1.035165,0.311938049
312.705933,1.399045,1.04563,0.312705933
313.473724,1.393406,1.056175,0.313473724
314.241486,1.387963,1.066796,0.314241486
315.009186,1.382718,1.077484,0.315009186
315.776855,1.37767,1.088237,0.315776855
316.544434,1.372819,1.099045,0.316544434
317.311951,1.368164,1.109905,0.317311951
318.079437,1.363704,1.120811,0.318079437
318.846832,1.359439,1.131756,0.318846832
319.614197,1.355368,1.142736,0.319614197
320.3815,1.351488,1.153746,0.3203815
321.148743,1.347799,1.16478,0.321148743
321.915955,1.344298,1.175833,0.321915955
322.683075,1.340984,1.1869,0.322683075
323.450134,1.337855,1.197976,0.323450134
324.217163,1.334909,1.209057,0.324217163
324.984131,1.332143,1.220139,0.324984131
325.751007,1.329556,1.231217,0.325751007
326.517853,1.327143,1.242287,0.326517853
327.284637,1.324904,1.253346,0.327284637
328.051392,1.322835,1.264389,0.328051392
328.818054,1.320933,1.275412,0.328818054
329.584656,1.319196,1.286413,0.329584656
330.351227,1.317621,1.297389,0.330351227
331.117737,1.316205,1.308335,0.331117737
331.884155,1.314945,1.319249,0.331884155
332.650543,1.313837,1.330129,0.332650543
333.41687,1.31288,1.340971,0.33341687
334.183136,1.31207,1.351774,0.334183136
334.949371,1.311404,1.362535,0.334949371
335.715515,1.310879,1.37325,0.335715515
336.481628,1.310491,1.38392,0.336481628
337.24765,1.310239,1.394541,0.33724765
338.013641,1.310119,1.405111,0.338013641
338.779572,1.310128,1.41563,0.338779572
339.545441,1.310263,1.426096,0.339545441
340.311249,1.310521,1.436506,0.340311249
341.076996,1.3109,1.44686,0.341076996
341.842682,1.311396,1.457156,0.341842682
342.608337,1.312007,1.467393,0.342608337
343.373901,1.31273,1.477571,0.343373901
344.139435,1.313562,1.487688,0.344139435
344.904877,1.3145,1.497743,0.344904877
345.670288,1.315543,1.507735,0.345670288
346.435638,1.316687,1.517665,0.346435638
347.200928,1.317929,1.52753,0.347200928
347.966156,1.319268,1.537331,0.347966156
348.731354,1.3207,1.547067,0.348731354
349.49646,1.322224,1.556737,0.34949646
350.261505,1.323837,1.566342,0.350261505
351.02652,1.325536,1.57588,0.35102652
351.791473,1.32732,1.585352,0.351791473
352.556335,1.329186,1.594757,0.352556335
353.321167,1.331132,1.604096,0.353321167
354.085938,1.333156,1.613367,0.354085938
354.850647,1.335255,1.622571,0.354850647
355.615326,1.337429,1.631708,0.355615326
356.379913,1.339674,1.640778,0.356379913
357.14444,1.341988,1.64978,0.35714444
357.908936,1.344371,1.658715,0.357908936
358.67337,1.34682,1.667583,0.35867337
359.437714,1.349333,1.676384,0.359437714
360.202026,1.351908,1.685119,0.360202026
360.966278,1.354544,1.693786,0.360966278
361.730469,1.357239,1.702387,0.361730469
362.494598,1.359992,1.710921,0.362494598
363.258698,1.3628,1.71939,0.363258698
364.022705,1.365662,1.727793,0.364022705
364.786652,1.368577,1.736129,0.364786652
365.550568,1.371543,1.744401,0.365550568
366.314423,1.374559,1.752608,0.366314423
367.078186,1.377623,1.760749,0.367078186
367.841919,1.380734,1.768827,0.367841919
368.605591,1.38389,1.77684,0.368605591
