nm,n,k,wl
245.692566,2.317224,1.332199,0.245692566
246.465164,2.330755,1.331063,0.246465164
247.237717,2.344332,1.329705,0.247237717
248.010223,2.357951,1.328121,0.248010223
248.782669,2.371606,1.326308,0.248782669
249.555069,2.385294,1.324264,0.249555069
250.327408,2.399009,1.321985,0.250327408
251.099686,2.412748,1.319469,0.251099686
251.871918,2.426505,1.316712,0.251871918
252.644104,2.440275,1.313713,0.252644104
253.416229,2.454053,1.310469,0.253416229
254.188309,2.467833,1.306977,0.254188309
254.960327,2.48161,1.303235,0.254960327
255.7323,2.495378,1.299241,0.2557323
256.504211,2.50913,1.294994,0.256504211
257.276093,2.522862,1.290489,0.257276093
258.047882,2.536566,1.285728,0.258047882
258.819641,2.550237,1.280707,0.258819641
259.591339,2.563867,1.275426,0.259591339
260.362976,2.57745,1.269883,0.260362976
261.134583,2.59098,1.264077,0.261134583
261.906128,2.604448,1.258007,0.261906128
262.677612,2.617849,1.251674,0.262677612
263.449036,2.631174,1.245077,0.263449036
264.220428,2.644418,1.238215,0.264220428
264.99173,2.657571,1.23109,0.26499173
265.763,2.670627,1.223701,0.265763
266.53421,2.683578,1.216049,0.26653421
267.305389,2.696417,1.208135,0.267305389
268.076477,2.709135,1.199961,0.268076477
268.847534,2.721725,1.191527,0.268847534
269.61853,2.73418,1.182837,0.26961853
270.389496,2.746491,1.173891,0.270389496
271.16037,2.758651,1.164693,0.27116037
271.931213,2.770652,1.155246,0.271931213
272.701996,2.782486,1.145552,0.272701996
273.472717,2.794146,1.135615,0.273472717
274.243378,2.805623,1.125439,0.274243378
275.013977,2.816911,1.115028,0.275013977
275.784546,2.828002,1.104385,0.275784546
276.555054,2.838888,1.093517,0.276555054
277.3255,2.849563,1.082428,0.2773255
278.095886,2.860019,1.071123,0.278095886
278.866241,2.87025,1.059607,0.278866241
279.636505,2.880248,1.047888,0.279636505
280.406738,2.890007,1.035971,0.280406738
281.17691,2.899522,1.023862,0.28117691
281.947052,2.908786,1.011569,0.281947052
282.717102,2.917792,0.999098,0.282717102
283.487122,2.926536,0.986457,0.283487122
284.25705,2.935012,0.973653,0.28425705
285.026947,2.943215,0.960694,0.285026947
285.796814,2.951141,0.947588,0.285796814
286.566589,2.958784,0.934344,0.286566589
287.336304,2.966142,0.92097,0.287336304
288.105988,2.97321,0.907473,0.288105988
288.87561,2.979984,0.893864,0.28887561
289.645172,2.986463,0.88015,0.289645172
290.414673,2.992642,0.866341,0.290414673
291.184143,2.99852,0.852446,0.291184143
291.953522,3.004095,0.838474,0.291953522
292.72287,3.009365,0.824433,0.29272287
293.492157,3.014329,0.810334,0.293492157
294.261383,3.018986,0.796185,0.294261383
295.030548,3.023335,0.781997,0.295030548
295.799652,3.027377,0.767777,0.295799652
296.568726,3.031111,0.753535,0.296568726
297.337708,3.034539,0.739281,0.297337708
298.106659,3.03766,0.725023,0.298106659
298.875549,3.040477,0.71077,0.298875549
299.644379,3.042991,0.696532,0.299644379
300.413177,3.045203,0.682316,0.300413177
301.181885,3.047117,0.668132,0.301181885
301.950562,3.048735,0.653988,0.301950562
302.719177,3.050059,0.639892,0.302719177
303.487701,3.051093,0.625854,0.303487701
304.256226,3.05184,0.611879,0.304256226
305.024658,3.052305,0.597977,0.305024658
305.79303,3.05249,0.584154,0.30579303
306.561371,3.052401,0.570418,0.306561371
307.32962,3.052041,0.556777,0.30732962
308.097839,3.051415,0.543237,0.308097839
308.865997,3.050529,0.529804,0.308865997
309.634094,3.049387,0.516485,0.309634094
310.40213,3.047995,0.503286,0.31040213
311.170135,3.046357,0.490213,0.311170135
311.938049,3.044479,0.477271,0.311938049
312.705933,3.042368,0.464466,0.312705933
