Name,L*,a*,b*,C*,h°,ΔE*ab,400 nm,410 nm,420 nm,430 nm,440 nm,450 nm,460 nm,470 nm,480 nm,490 nm,500 nm,510 nm,520 nm,530 nm,540 nm,550 nm,560 nm,570 nm,580 nm,590 nm,600 nm,610 nm,620 nm,630 nm,640 nm,650 nm,660 nm,670 nm,680 nm,690 nm,700 nm,Weight,Unnamed: 39,Unnamed: 40,Unnamed: 41,mixing weight
Target,46.3,-1.3,-4.6,4.8,254.2,0.0,25.0,20.0,18.8,17.8,17.5,17.2,16.7,17.2,18.0,18.5,18.3,17.6,16.7,16.0,15.5,14.9,14.4,13.9,13.5,13.6,13.9,14.6,15.3,16.0,16.6,17.2,17.8,18.3,18.8,19.0,19.4,0.0,,,,inf
Blue_ideal,44.32,3.02,-46.29,46.39,273.74,0.0,47.14,46.36,46.2,43.72,44.27,45.2,43.61,40.63,37.53,33.92,29.18,23.73,18.13,13.2,9.84,7.92,7.14,7.06,7.22,7.39,7.37,7.24,7.15,6.94,6.85,6.78,6.58,6.54,6.48,6.4,6.48,1000000.0,,,,1000000.0
In-RO-021-T-SF-1#0426-A2-24T-1,38.35,10.91,3.37,11.42,17.18,6.79,22.02,19.06,14.58,10.34,8.72,8.2,7.77,7.7,7.81,7.83,8.07,8.42,8.71,8.98,9.37,9.64,10.0,10.3,10.76,11.32,12.1,13.12,14.49,16.15,17.71,19.3,20.59,21.71,22.46,22.88,23.24,99.7,,,,99.7
In-RO-021-T-SF-1#0429-A1-23T-1,36.47,14.85,1.45,14.92,5.6,4.31,23.18,19.14,13.91,9.25,8.45,8.16,7.66,7.28,7.2,7.15,7.15,7.15,7.29,7.4,7.76,8.17,8.73,9.1,9.42,9.9,10.96,12.7,14.88,17.3,19.5,21.42,22.79,23.76,24.19,24.35,24.37,97.4,,,,97.4
In-RO-021-T-SF-1#0420-A1-24T-1,39.95,16.86,12.99,21.28,37.62,9.91,15.31,9.72,7.68,7.25,7.07,6.97,7.01,7.09,7.11,7.26,7.46,7.77,8.19,8.63,9.01,9.33,9.78,10.66,12.22,14.45,16.9,19.19,20.96,22.21,23.06,23.66,23.85,24.02,23.83,23.33,22.83,97.1,,,,97.1
In-RO-021-T-SF-1#0425-A2-24T-1,37.41,13.74,5.25,14.71,20.9,3.96,22.04,17.02,11.19,7.94,8.0,7.79,7.27,7.09,7.14,7.28,7.31,7.45,7.72,7.91,8.36,8.89,9.45,9.68,10.0,10.46,11.71,13.48,15.83,18.25,20.43,22.03,23.15,24.01,24.2,24.31,24.33,96.3,,,,96.3
In-GC-021-T-SF-2#0525-A1-34T-1,58.03,-23.87,15.49,28.45,147.02,8.22,9.74,11.69,13.49,13.78,13.64,14.26,17.55,22.63,27.09,29.74,31.03,31.42,31.25,30.55,29.9,29.18,28.54,27.39,25.81,23.49,20.6,17.4,14.08,11.15,9.25,8.35,8.31,8.64,9.05,9.45,9.69,95.3,,,,95.3
In-GC-021-T-SF-2#0511-A1-27T-1,38.49,-6.36,8.82,10.87,125.78,24.13,6.26,5.83,6.17,6.48,6.96,7.5,8.0,8.58,9.36,10.08,10.57,10.96,11.26,11.24,11.16,10.99,10.75,10.52,10.25,10.04,9.86,9.57,9.48,9.26,9.03,8.89,8.71,8.61,8.38,8.27,8.06,95.2,,,,95.2
In-RO-021-T-SF-1#0422-A2-24T-1,41.5,13.81,11.7,18.1,40.27,10.18,17.0,11.97,9.35,8.61,8.13,7.81,7.78,8.04,8.17,8.4,8.69,8.98,9.4,9.78,10.26,10.78,11.39,12.18,13.38,15.01,16.87,18.77,20.3,21.56,22.39,23.08,23.33,23.45,23.23,22.95,22.5,94.3,,,,94.3
In-RO-021-T-SF-1#0428-A2-22T-1,35.41,16.97,-1.4,17.03,355.3,6.49,29.09,23.71,16.89,10.56,8.63,7.9,7.22,6.81,6.65,6.79,6.68,6.7,6.84,6.96,7.17,7.54,7.88,8.2,8.66,9.31,10.29,11.84,14.1,16.9,19.67,22.45,24.81,26.72,28.11,28.8,29.64,93.2,,,,93.2
