Name,Weight,L*,a*,b*,deltaL*,deltaa*,deltab*,deltaE*ab,400 nm,410 nm,420 nm,430 nm,440 nm,450 nm,460 nm,470 nm,480 nm,490 nm,500 nm,510 nm,520 nm,530 nm,540 nm,550 nm,560 nm,570 nm,580 nm,590 nm,600 nm,610 nm,620 nm,630 nm,640 nm,650 nm,660 nm,670 nm,680 nm,690 nm,700 nm,L*_,a*_,b*_,deltaL*_,deltaa*_,deltab*_,deltaE*ab_,400nm_,410nm_,420nm_,430nm_,440nm_,450nm_,460nm_,470nm_,480nm_,490nm_,500nm_,510nm_,520nm_,530nm_,540nm_,550nm_,560nm_,570nm_,580nm_,590nm_,600nm_,610nm_,620nm_,630nm_,640nm_,650nm_,660nm_,670nm_,680nm_,690nm_,700nm_
Target,,68.79,-1.14,2.57,--,--,--,--,33.56,34.53,35.12,36.42,37.02,37.27,37.47,37.53,37.65,37.86,37.88,38.07,38.37,38.67,39.14,39.67,40.04,40.52,40.82,40.9,40.57,39.86,38.67,36.98,34.77,32.32,29.53,26.73,24.03,21.41,19.64,79.175,-7.48,1.745,------,------,------,------,49.03,50.36,51.64,52.765,53.37,53.695,53.86,54.115,54.24,54.44,54.88,55.605,56.465,57.435,58.195,58.81,59.085,58.92,58.05,56.125,53.34,49.9,45.495,40.61,35.75,31.175,27.005,23.445,20.66,18.345,16.88
In-WB-001-O-SF-3#20220422-A3-8T-3,16,59.89,4.2,8.76,-8.9,5.33,6.19,12.08,16.22,18.21,19.67,21.01,22.34,23.23,23.59,23.9,24.25,24.73,24.97,25.4,25.72,26.12,26.68,27.29,28.06,28.89,29.87,30.89,31.86,32.73,33.45,33.95,34.06,33.91,33.19,32.13,30.69,28.92,27.2,74.3,2.97,12.04,-4.87,10.45,10.29,15.45,26.86,29.29,31.98,34.7,36.31,37.41,38.27,39.12,39.81,40.47,41.21,42.13,43.22,44.46,45.75,47.19,48.71,50.31,51.88,53.07,53.86,54.26,53.88,52.77,51.03,48.77,46.15,43.33,40.47,37.43,34.66
In-WB-001-O-SF-3#20220424-A1-20T-3,43.5,61.73,5.09,8.92,-7.06,6.23,6.35,11.35,18.93,20.79,21.85,23.09,24.09,24.89,25.21,25.38,25.68,26.11,26.36,26.77,27.27,27.73,28.44,29.29,30.23,31.3,32.59,33.75,34.89,35.85,36.52,36.71,36.45,35.7,34.29,32.49,30.23,27.62,25.04,77.91,3.54,13.31,-1.26,11.02,11.57,16.03,32.23,34.35,36.7,38.96,40.31,41.27,42.01,42.77,43.42,44.1,44.99,46.21,47.66,49.41,51.25,53.34,55.57,57.85,59.91,61.35,62.06,62.05,60.78,58.38,55.02,50.95,46.4,41.68,37.08,32.44,28.56
In-WB-001-O-SF-3#20220424-A2-20T-3,41.5,61.12,5.74,8.81,-7.66,6.87,6.24,12.04,20.53,21.75,22.24,23.21,23.97,24.1,24.26,24.28,24.62,24.87,25.12,25.56,26.15,26.71,27.59,28.61,29.81,31.15,32.5,33.85,34.93,35.57,35.8,35.41,34.52,33.18,31.3,29.13,26.62,24.18,21.93,75.98,2.66,13.21,-3.19,10.14,11.47,15.64,33.45,34.64,35.95,37.21,37.92,38.42,38.81,39.32,39.83,40.47,41.4,42.71,44.39,46.48,48.65,51.04,53.46,55.78,57.6,58.46,58.25,57.14,54.77,51.47,47.53,43.3,38.92,34.77,31.03,27.44,24.54
In-WB-001-O-SF-3#20220425-A1-20T-3,41.5,61.2,4.67,8.1,-7.59,5.81,5.53,11.04,20.61,21.66,22.5,23.61,24.47,24.64,24.8,24.88,25.2,25.51,25.78,26.16,26.7,27.2,27.97,28.88,29.89,31.08,32.23,33.37,34.38,34.82,35.01,34.55,33.68,32.38,30.58,28.54,26.17,23.77,21.77,76.2,2.04,11.94,-2.98,9.53,10.19,14.27,33.9,35.36,36.94,38.41,39.24,39.79,40.25,40.79,41.3,41.91,42.75,43.93,45.43,47.27,49.21,51.32,53.45,55.49,57.08,57.82,57.65,56.7,54.54,51.51,47.84,43.81,39.58,35.49,31.72,28.08,25.19
In-WB-001-O-SF-3#20220425-A2-20T-3,42,65.24,2.67,7.36,-3.55,3.81,4.79,7.08,24.54,26.15,26.93,28.32,29.02,29.38,29.68,29.91,30.29,30.64,31,31.4,31.95,32.49,33.26,34.15,35.09,36.12,37.21,38.02,38.73,38.94,38.63,37.75,36.18,34.15,31.45,28.59,25.51,22.43,19.89,80.79,-2.6,9.67,1.62,4.88,7.93,9.45,41.72,43.44,45.16,46.84,47.91,48.63,49.22,49.96,50.64,51.38,52.37,53.67,55.25,57.08,58.87,60.76,62.53,64.03,64.9,64.53,62.95,60.37,56.36,51.35,45.85,40.23,34.67,29.6,25.36,21.6,18.89
In-WB-001-O-SF-3#20220425-A3-20T-3,42.5,65.03,2.79,7.21,-3.76,3.92,4.64,7.14,23.96,25.52,26.43,28.01,28.92,29.3,29.63,29.93,30.3,30.64,30.93,31.25,31.8,32.25,32.94,33.74,34.64,35.61,36.69,37.59,38.4,38.76,38.64,37.96,36.53,34.6,31.9,28.98,25.63,22.39,19.59,81.03,-1.11,10.03,1.86,6.36,8.28,10.61,40.59,42.59,44.74,46.72,47.92,48.79,49.48,50.24,50.89,51.54,52.4,53.57,55.03,56.77,58.5,60.41,62.3,64.09,65.41,65.7,64.86,62.94,59.43,54.61,48.98,42.94,36.73,30.86,25.72,21.01,17.52
In-WB-001-O-SF-3#20220426-A1-20T-3,42.5,65.25,1.44,3.92,-3.54,2.57,1.35,4.58,27.29,28.74,29.66,30.98,31.63,31.85,31.94,32.01,32.2,32.37,32.48,32.68,33,33.21,33.71,34.18,34.73,35.38,36.06,36.67,37.08,37.2,36.92,36.13,34.77,33.08,30.75,28.27,25.63,23.01,20.9,80.19,-2.7,5.67,1.02,4.78,3.93,6.27,45.76,47.42,49.06,50.35,51.01,51.49,51.83,52.3,52.68,53.1,53.69,54.52,55.49,56.64,57.74,58.95,60.11,61.15,61.75,61.47,60.23,58.13,54.69,50.25,45.33,40.25,35.25,30.64,26.71,23.27,20.87
In-WB-001-O-SF-3#20220427-A2-1T-3,2,68.09,-15.62,-2.52,-0.7,-14.49,-5.09,15.37,34.31,35.53,36.88,38.6,39.76,40.35,41,41.37,41.82,42.17,42.36,42.63,42.86,42.84,42.81,42.32,41.43,39.82,37.43,34.3,30.59,26.61,22.57,18.87,15.45,12.68,10.38,8.85,8.03,7.66,7.77,79.04,-31.96,-10.03,-0.14,-24.48,-11.77,27.16,55.39,57.84,60.35,63.05,64.91,66.11,67.04,68.05,68.81,69.44,70.06,70.66,70.83,70.29,68.41,65.15,60.19,53.53,45.8,37.59,29.92,23.08,17.02,12.12,8.74,6.79,5.91,5.79,6.13,6.65,7.26
In-WB-001-O-SF-3#20220427-A4-20T-3,43.5,71.2,-14.54,-5.83,2.41,-13.4,-8.41,16,46.03,45.87,46.22,47.53,47.74,47.71,47.9,47.94,48.04,47.95,47.88,47.89,47.97,47.78,47.52,46.84,45.5,43.46,40.6,37.05,33.05,29.11,25.58,22.58,19.99,17.99,16.62,16.09,16.17,16.62,17.15,85.13,-29.64,-15.09,5.96,-22.16,-16.84,28.46,80.22,81.71,83.01,84.15,84.93,85.34,85.48,85.81,85.91,85.97,86.17,86.4,86.12,84.72,81.4,76.24,69.17,60.52,51.41,42.77,35.54,29.59,24.85,21.86,20.82,21.25,22.47,23.98,25.43,26.7,27.72
